conflict_id,conflict_type,severity,source_a,source_b,property,value_a,value_b,impact,resolution_strategy,files_affected
BLUR_01,blur_values,critical,glassMixins.ts,glass.tokens.ts,subtle_blur,8px,2px,visual_inconsistency,use_token_system,53
BLUR_02,blur_values,critical,glassMixins.ts,glass.css,medium_blur,16px,16px,false_positive,align_naming,53
BLUR_03,blur_values,high,glassMixins.ts,glass.tokens.ts,strong_blur,24px,12px,visual_inconsistency,use_token_system,53
BLUR_04,blur_values,high,glassMixins.ts,glass.tokens.ts,intense_blur,32px,20px,visual_inconsistency,use_token_system,53
VARIANT_01,variant_count,critical,glassMixins.ts,glass.tokens.ts,total_variants,20,5,api_confusion,consolidate_variants,131
VARIANT_02,variant_naming,high,glassMixins.ts,glass.tokens.ts,frosted_definition,complex_gradient,simple_rgba,visual_inconsistency,use_complex_gradient,89
VARIANT_03,variant_authority,critical,glassMixins.ts,glass.css,variant_source,hardcoded_values,css_custom_properties,maintenance_burden,migrate_to_tokens,131
OPACITY_01,background_opacity,high,glassMixins.ts,glassSurface.ts,default_background,complex_gradient,rgba(255,255,255,0.1),visual_inconsistency,use_gradient_system,28
OPACITY_02,invisible_elements,critical,components,glass.tokens.ts,low_alpha_usage,89_occurrences_below_0.08,token_minimums_0.05,accessibility_violation,enforce_minimum_0.08,89
OPACITY_03,border_opacity,medium,glassBorder.ts,glass.css,border_alpha,0.2,0.6,visual_inconsistency,use_css_vars,15
BORDER_01,border_width,medium,glassMixins.ts,glassBorder.ts,default_width,2px,1px,visual_inconsistency,standardize_2px,28
BORDER_02,border_color_system,high,glassMixins.ts,glass.css,color_definition,hardcoded_rgba,css_custom_property,maintainability,use_css_vars,131
SHADOW_01,elevation_system,high,glassMixins.ts,glass.tokens.ts,elevation_approach,hardcoded_shadows,elevation_multiplier,system_inconsistency,use_elevation_tokens,131
SHADOW_02,shadow_values,medium,glassMixins.ts,glass.css,level_1_shadow,"0 4px 20px rgba(0,0,0,0.15)","0 8px 30px rgba(0,0,0,0.25)",visual_inconsistency,use_css_vars,131
TEXT_01,color_contrast,critical,glassMixins.ts,glass.css,text_primary,"rgba(255,255,255,0.95)","rgba(255,255,255,0.95)",false_positive,maintain_consistency,131
TEXT_02,color_system,medium,components,glass.css,hardcoded_text_colors,156_occurrences,css_custom_properties,maintainability,migrate_to_css_vars,156
FOCUS_01,focus_ring,high,createGlassFocusMixin,glass.css,ring_implementation,inline_box_shadow,css_custom_property,system_inconsistency,use_css_vars,73
FOCUS_02,focus_color,medium,createGlassFocusMixin,glass.css,default_ring_color,custom_hex_tint,"rgba(59,130,246,0.50)",visual_inconsistency,use_css_vars,73
ANIMATION_01,transition_duration,low,glassMixins.ts,glass.css,default_duration,200ms,200ms,false_positive,maintain_consistency,131
ANIMATION_02,easing_function,low,glassMixins.ts,glass.tokens.ts,default_easing,"cubic-bezier(0.4, 0, 0.2, 1)","ease-in-out",visual_inconsistency,standardize_easing,131
PERFORMANCE_01,glass_disable_risk,critical,OptimizedGlassCore.tsx,glass_philosophy,low_performance_mode,backdrop_filter_none,always_visible_glass,philosophy_violation,implement_tier_reduction,53
PERFORMANCE_02,blur_reduction,medium,OptimizedGlassCore.tsx,glassMixins.ts,low_mode_blur,8px_saturate_1.5,16px_saturate_1.8,performance_inconsistency,coordinate_performance_modes,53
API_01,multiple_apis,critical,glassMixins.ts,glassSurface.ts,surface_creation,createGlassMixin,glassSurface,developer_confusion,deprecate_simple_mixins,28
API_02,multiple_apis,critical,glassMixins.ts,glass.css,glass_application,js_function,css_classes,developer_confusion,unify_under_single_api,131
API_03,css_var_adoption,high,components,glass.css,css_var_usage,0_component_usage,40_css_definitions,unused_system,implement_migration,131
ACCESSIBILITY_01,contrast_validation,critical,all_sources,wcag_requirements,text_contrast,no_validation,aa_required_4_5_1,compliance_risk,implement_contrast_tests,131
ACCESSIBILITY_02,reduced_motion,medium,glassMixins.ts,glass.css,motion_handling,js_option,css_media_query,incomplete_coverage,coordinate_motion_handling,131
MAINTENANCE_01,hardcoded_values,critical,glassMixins.ts,token_philosophy,value_source,embedded_constants,token_system,technical_debt,migrate_to_tokens,131
MAINTENANCE_02,duplicate_definitions,high,multiple_sources,dry_principle,glass_definitions,3_competing_systems,single_source_truth,maintenance_burden,unify_systems,157
VALIDATION_01,runtime_validation,high,all_sources,quality_assurance,style_validation,no_runtime_checks,computed_style_validation,quality_risk,implement_probes,131